"","subID","Exclusion_preScreen","Exclusion_postScreen","Exclude","PowerLevel","PublicPattern","PrivatePattern","PublicVoteCount","PrivateVoteCount","yellowVotesToFirstBlue","yellowBeliefsToFirstBlue","Spkr2_Flip","all_or_none","Measure","SpkrID","Values"
"35",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",1
"36",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",1
"37",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",1
"38",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"39",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",2
"40",10,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",10
"41",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr2",19
"42",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr3",16
"43",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr4",9
"44",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr5",11
"45",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr2",3
"46",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr3",3
"47",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr4",3
"48",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr5",3
"49",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","Decision","TeamChoice",16
"50",11,"Round1","Passed",0,"Popular","YYYBY","YBBBB",3,0,3,1,"Spkr2_VotesYellow","Mixed","Decision","AccurateChoice",8
"51",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr2",13
"52",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr3",7
"53",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr4",16
"54",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PublicVote","Spkr5",12
"55",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr2",2
"56",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr3",2
"57",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr4",4
"58",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","PrivateBelief","Spkr5",3
"59",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","Decision","TeamChoice",17
"60",12,"Round1","Passed",0,"Popular","YYBYY","YBBBB",3,0,2,1,"Spkr2_VotesYellow","Mixed","Decision","AccurateChoice",10
"61",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",1
"62",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",1
"63",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",1
"64",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"65",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",1
"66",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",1
"67",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",1
"68",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"69",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",1
"70",13,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",5
"71",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",5
"72",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",7
"73",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",2
"74",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"75",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",2
"76",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",3
"77",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",4
"78",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"79",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",4
"80",14,"Round1","Passed",0,"Popular","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",10
"81",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr2",5
"82",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr3",16
"83",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr4",3
"84",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PublicVote","Spkr5",16
"85",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr2",1
"86",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr3",3
"87",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr4",1
"88",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","PrivateBelief","Spkr5",2
"89",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","Decision","TeamChoice",3
"90",15,"Round1","Passed",0,"Popular","YBYBY","YBBBB",2,0,1,1,"Spkr2_VotesBlue","Mixed","Decision","AccurateChoice",5
"91",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",5
"92",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",2
"93",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",1
"94",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"95",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",3
"96",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",2
"97",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",1
"98",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"99",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",2
"100",16,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",5
"101",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr2",5
"102",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr3",5
"103",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr4",1
"104",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PublicVote","Spkr5",1
"105",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr2",5
"106",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr3",5
"107",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr4",1
"108",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","PrivateBelief","Spkr5",1
"109",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","TeamChoice",1
"110",17,"Round1","Passed",0,"Anonymous","YBBBB","YBBBB",0,0,1,1,"Spkr2_VotesBlue","YBBBB","Decision","AccurateChoice",11
"111",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PublicVote","Spkr2",20
"112",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PublicVote","Spkr3",20
"113",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PublicVote","Spkr4",20
"114",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PublicVote","Spkr5",20
"115",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PrivateBelief","Spkr2",9
"116",18,"Round1","Passed",0,"Popular","YYYYY","YBYYY",4,3,4,1,"Spkr2_VotesYellow","YYYYY","PrivateBelief","Spkr3",16
